"ID","Previous_accession","moduleLabels","MM.17","p.MM.17","Interpro.ID","Interpro.Short.Description","GO","GO_term","Ontology.Term","Preferred.Name","SP_d3","SP_d7","R12_d7","R34_d7","R56_d7","R78_d7"
"TraesCS1A03G0042200.1","TraesCS1A02G018100","W17","0.848466061148232","1.67284102909139e-05","IPR000719, IPR000858, IPR001480, IPR003609, IPR008271, IPR011009, IPR017441, IPR024171, IPR036426","Prot_kinase_dom, S_locus_glycoprot_dom, Bulb-type_lectin_dom, Pan_app, Ser/Thr_kinase_AS, Kinase-like_dom_sf, Protein_kinase_ATP_BS, SRK-like_kinase, Bulb-type_lectin_dom_sf","GO:0005524,GO:0004712,GO:0048544,GO:0016021,GO:0004674,GO:0006468,GO:0106310","ATP binding,protein serine/threonine/tyrosine kinase activity,recognition of pollen,integral component of membrane,protein serine/threonine kinase activity,protein phosphorylation,protein serine kinase activity","TO_0000310","self-incompatibility","0.604922211","0.037019709","0","0.060801755","0.106574555","0.272872121"
"TraesCS1A03G0198500.1","TraesCS1A02G081700","W17","0.746041140891528","0.000584056091011074","","","GO:0016021","integral component of membrane","TO_0000580, TO_0000207","cytoplasmic male sterility, plant height","0.880321329","0","0","0","0.059511632","0.459953526"
"TraesCS1A03G0244100.1","TraesCS1A02G100400","W17","0.796875879471721","0.000128424032553956","IPR000719, IPR000858, IPR001245, IPR001480, IPR003609, IPR008271, IPR011009, IPR017441, IPR036426","Prot_kinase_dom, S_locus_glycoprot_dom, Ser-Thr/Tyr_kinase_cat_dom, Bulb-type_lectin_dom, Pan_app, Ser/Thr_kinase_AS, Kinase-like_dom_sf, Protein_kinase_ATP_BS, Bulb-type_lectin_dom_sf","GO:0005524,GO:0004712,GO:0048544,GO:0016021,GO:0004674,GO:0006468,GO:0106310","ATP binding,protein serine/threonine/tyrosine kinase activity,recognition of pollen,integral component of membrane,protein serine/threonine kinase activity,protein phosphorylation,protein serine kinase activity","TO_0000428, TO_0006017","callus induction, meristem identity","3.263996468","1.270320919","0.516297489","2.404193603","4.7687884","3.476859151"
"TraesCS1A03G0276200.1","TraesCS1A02G113300","W17","0.787600120724256","0.000174376255112183","IPR017946, IPR030395","PLC-like_Pdiesterase_TIM-brl, GP_PDE_dom","GO:0006071,GO:0006629,GO:0008889","glycerol metabolic process,lipid metabolic process,glycerophosphodiester phosphodiesterase activity","TO_0000430, TO_0000227, TO_0000707, TO_0000276","germination rate, root length, pericarp color, drought tolerance","2.532648847","0.89629438","0.58099863","1.336333623","3.554505741","3.610725571"
"TraesCS1A03G0313300.1","TraesCS1A02G126100","W17","0.787790094396788","0.000173313106364218","IPR001087, IPR035669, IPR036514","GDSL, SGNH_plant_lipase-like, SGNH_hydro_sf","GO:0016788","hydrolase activity, acting on ester bonds","TO_0000437, TO_0000355, TO_0000276, TO_0006017, TO_0002657, TO_0000580","male sterility, heterosis, drought tolerance, meristem identity, oxidative stress, cytoplasmic male sterility","0.994029236","0","0.035978647","0","0.261051065","0.991517309"
"TraesCS1A03G0403500.1","TraesCS1A02G150200","W17","0.599807201788731","0.0109217975125264","IPR000109, IPR036259, IPR044739","POT_fam, MFS_trans_sf, NRT1/PTR","GO:0071916,GO:0035442,GO:0042937,GO:0042939,GO:0016021","dipeptide transmembrane transporter activity,dipeptide transmembrane transport,tripeptide transmembrane transporter activity,tripeptide transport,integral component of membrane","TO_0000183","other miscellaneous trait","1.257390003","0.833458829","0.632896677","0.857581105","1.613375511","1.852306743"
"TraesCS1A03G0598600.1","TraesCS1A02G230400","W17","0.785316595000806","0.00018758931524904","IPR016040, IPR036291, IPR044516","NAD(P)-bd_dom, NAD(P)-bd_dom_sf, UXS","GO:0005737,GO:0016021,GO:0048040,GO:0070403,GO:0033320,GO:0042732","cytoplasm,integral component of membrane,UDP-glucuronate decarboxylase activity,NAD+ binding,UDP-D-xylose biosynthetic process,D-xylose metabolic process","TO_0000183","other miscellaneous trait","41.19295823","7.47049697","10.37406951","27.69480158","85.22517349","50.620619"
"TraesCS1A03G0664100.1","TraesCS1A02G259600","W17","0.808872039902272","8.44488127315919e-05","IPR000719, IPR001245, IPR001611, IPR011009, IPR013210, IPR032675","Prot_kinase_dom, Ser-Thr/Tyr_kinase_cat_dom, Leu-rich_rpt, Kinase-like_dom_sf, LRR_N_plant-typ, LRR_dom_sf","GO:0016021,GO:0004672,GO:0005515,GO:0005524,GO:0006468","integral component of membrane,protein kinase activity,protein binding,ATP binding,protein phosphorylation","TO_0000207, TO_0006047, TO_0002628, TO_0000112, TO_0000437, TO_0000495, TO_0006002, TO_0000522;TO_0000523, TO_0000276, TO_0002699, TO_0002672, TO_0000084, TO_0001013, TO_0000206, TO_0020097, TO_0000225, TO_0000430, TO_0000227, TO_0000071, TO_0000652, TO_0002637, TO_0000315, TO_0020100, TO_0000253, TO_0002639, TO_0000492, TO_0000391, TO_0000135, TO_0006001, TO_0000241, TO_0006019, TO_0001015, TO_0000259","plant height, calcium concentration, fruit shape, disease resistance, male sterility, chlorophyll content, proline content, stomatal resistance, drought tolerance, lycopene content, auxin content, root number, lateral root number, leaf angle, stomatal opening, stamen number, germination rate, root length, anthocyanin content, leaf necrosis, leaf size, bacterial disease resistance, nitrate uptake, seed dormancy, shoot branching, leaf shape, seed size, leaf length, salt tolerance, leaf number, floral organ identity, photosynthetic rate, heat tolerance","12.90255764","8.226340214","3.24594615","10.02782727","22.69721515","20.33311276"
"TraesCS1A03G0664400.1","TraesCS1A02G259800","W17","0.786934868749663","0.000178142389094792","IPR015883, IPR017853, IPR025705, IPR029018, IPR029019","Glyco_hydro_20_cat, Glycoside_hydrolase_SF, Beta_hexosaminidase_sua/sub, Hex-like_dom2, HEX_eukaryotic_N","GO:0005975,GO:0102148,GO:0016020,GO:0004563,GO:0030203","carbohydrate metabolic process,N-acetyl-beta-D-galactosaminidase activity,membrane,beta-N-acetylhexosaminidase activity,glycosaminoglycan metabolic process","TO_0000043","root morphology trait","0.337442191","0.014217249","0","0.037776183","0.095135536","0.285852548"
"TraesCS1A03G0676900.1","TraesCS1A02G266100","W17","0.786015437111665","0.00018345950469579","IPR002921, IPR029058, IPR033556","Fungal_lipase-like, AB_hydrolase, PLA","GO:0016042,GO:0008970","lipid catabolic process,phospholipase A1 activity","NA","NA","5.538007633","0.042832783","0.261244547","0.267019786","1.185305187","0.858117452"
