"ID","Previous_accession","moduleLabels","MM.19","p.MM.19","Interpro.ID","Interpro.Short.Description","GO","GO_term","Ontology.Term","Preferred.Name","SP_d3","SP_d7","R12_d7","R34_d7","R56_d7","R78_d7"
"TraesCS1A03G0005000.1","TraesCS1A02G002400","W19","0.798430768424622","0.00012182175482276","IPR001128, IPR002401, IPR036396","Cyt_P450, Cyt_P450_E_grp-I, Cyt_P450_sf","GO:0016021,GO:0004497,GO:0005506,GO:0016705,GO:0020037","integral component of membrane,monooxygenase activity,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,heme binding","TO_0000112, TO_0000183","disease resistance, other miscellaneous trait","5.422490066","6.179979306","0.869361661","1.018143661","1.299561033","0.627770861"
"TraesCS1A03G0232400.1","TraesCS1A02G096300","W19","0.873799683696025","4.58151279964302e-06","IPR004827, IPR025422, IPR046347","bZIP, TGA_domain, bZIP_sf","GO:0003700,GO:0006355,GO:0043565","DNA-binding transcription factor activity,regulation of DNA-templated transcription,sequence-specific DNA binding","TO_0002657, TO_0000043, TO_0002639, TO_0006017, TO_0000495, TO_0002692, TO_0000112, TO_0000437, TO_0000492, TO_0020100, TO_0000071, TO_0000173, TO_0000183, TO_0000371, TO_0000259, TO_0000516, TO_0006001, TO_0000522;TO_0000523","oxidative stress, root morphology trait, shoot branching, meristem identity, chlorophyll content, root meristem development, disease resistance, male sterility, leaf shape, nitrate uptake, anthocyanin content, ethylene sensitivity, other miscellaneous trait, yield trait, heat tolerance, relative root length, salt tolerance, stomatal resistance","1.180177438","0.970375061","0.152052007","0.014652726","0.013403521","0.084733155"
"TraesCS1A03G0233500.1","TraesCS1A02G097100","W19","0.640033761665874","0.00565230269568727","IPR007811","RPC4","GO:0005666,GO:0016021,GO:0003677,GO:0006383","RNA polymerase III complex,integral component of membrane,DNA binding,transcription by RNA polymerase III","TO_0000355","heterosis","0.32497586","0.370890927","0.082325449","0.20499136","0.371166848","0.364454126"
"TraesCS1A03G0281400.1","TraesCS1A02G115200","W19","0.655701215464568","0.00426545874689004","IPR004696, IPR004853","Tpt_PEP_transl, Sugar_P_trans_dom","GO:0055085,GO:0015297,GO:0031969,GO:0015718,GO:0016021,GO:0005794,GO:0015605,GO:0015748,GO:0008514","transmembrane transport,antiporter activity,chloroplast membrane,monocarboxylic acid transport,integral component of membrane,Golgi apparatus,organophosphate ester transmembrane transporter activity,organophosphate ester transport,organic anion transmembrane transporter activity","TO_0006017, TO_0000428","meristem identity, callus induction","0.623258585","0.332934654","0.111115777","0.138790788","0.481017414","0.213447742"
"TraesCS1A03G0312600.1","TraesCS1A02G125800","W19","0.883053426518536","2.66122862663388e-06","IPR002100, IPR002487, IPR033896, IPR036879","TF_MADSbox, TF_Kbox, MADS_MEF2-like, TF_MADSbox_sf","GO:0005634,GO:0003700,GO:0000977,GO:0046983,GO:0045944","nucleus,DNA-binding transcription factor activity,RNA polymerase II transcription regulatory region sequence-specific DNA binding,protein dimerization activity,positive regulation of transcription by RNA polymerase II","TO_0000571, TO_0020057, TO_0000919, TO_0000930, TO_0002657, TO_0000391, TO_0000582, TO_0000727, TO_0001017, TO_0000437, TO_0000230, TO_0000050, TO_0000183, TO_0000253, TO_0020100, TO_0000084, TO_0000598, TO_0001006, TO_0000580, TO_0000572, TO_0000137, TO_0000607, TO_0000612, TO_0000397, TO_0000881, TO_0000495, TO_0000043, TO_0002759, TO_0006030, TO_0000486, TO_0006020, TO_0000458, TO_0006038, TO_0006018, TO_0000522;TO_0000523, TO_0000315, TO_0000524, TO_0000990, TO_0002681, TO_0002603, TO_0006036, TO_0000479, TO_0000615, TO_0006055, TO_0000207, TO_0002625, TO_0006039, TO_0000241, TO_0000227, TO_0002692, TO_0006019, TO_0000259, TO_0002637, TO_0000421, TO_0000257, TO_0006017, TO_0000365, TO_0001073, TO_0000112, TO_0000136, TO_0002661, TO_0001051, TO_0000430, TO_0002610, TO_0001015, TO_0000429, TO_0006002, TO_0000444, TO_0000325, TO_0002643, TO_0002628, TO_0002617, TO_0002639, TO_0000346, TO_0000435, TO_0002684, TO_0000303, TO_0000276, TO_0000492, TO_0020097, TO_0000355, TO_0006014, TO_0000004, TO_0000434, TO_0000552, TO_0000567, TO_0006001, TO_0000163, TO_0000731, TO_0000085, TO_0000019, TO_0001027, TO_0000344","shoot fresh weight, wheat leaf rust disease resistance, grain weight, seed shattering, oxidative stress, seed size, inflorescence number, sporogenesis, water use efficiency, male sterility, crown rootless, inflorescence branching, other miscellaneous trait, seed dormancy, nitrate uptake, root number, protein content, adventitious root number, cytoplasmic male sterility, petal color, days to heading, ash content, grain density, grain size, flower type, chlorophyll content, root morphology trait, grain number, spikelet meristem identity, seed color, shoot apical meristem development, drought recovery, floral organ number, organ identity, stomatal resistance, bacterial disease resistance, submergence tolerance, seed hardness, leaf curling, petal size, stem elongation, acid sensitivity, abscisic acid sensitivity, selenium content, plant height, fruit size, petal number, leaf number, root length, root meristem development, floral organ identity, heat tolerance, leaf size, pollen fertility, root branching, meristem identity, male flowering, fruit shattering, disease resistance, leaf relative water content, seed maturation, root hair density, germination rate, pistil length, photosynthetic rate, salt sensitivity, proline content, parasitic weed, soluble protein content, carbon isotope discrimination, fruit shape, fruit color, shoot branching, tiller number, seed longevity, plant cell size, cold tolerance, drought tolerance, leaf shape, stomatal opening, heterosis, phyllotaxy, reversible male sterility, root activity, shoot dry weight, tiller angle, salt tolerance, auxin sensitivity, lignin content, leaf rolling, seedling height, net photosynthetic rate, days to flowering trait","1.077913686","0.299481578","0.048291725","0.021356106","0.049120836","0.061537686"
"TraesCS1A03G0477600.1","TraesCS1A02G176800","W19","0.73649886965752","0.000747033855769764","IPR029044","Nucleotide-diphossugar_trans","NA","NA","TO_0006036","stem elongation","1.241659586","1.568870103","0.568644226","0.534889441","1.259584594","1.632695375"
"TraesCS1A03G0513200.1","TraesCS1A02G191400","W19","0.841356992823367","2.3085686559504e-05","IPR002733, IPR023473, IPR027485, IPR036071","AMMECR1_domain, AMMECR1, AMMECR1_N, AMMECR1_dom_sf","NA","NA","NA","NA","9.561371396","8.108695153","4.673862579","3.680386674","7.436802296","10.48867041"
"TraesCS1A03G0520900.1","TraesCS1A02G194200","W19","0.612904801589067","0.00889675550638888","IPR011990","TPR-like_helical_dom_sf","GO:0005515","protein binding","TO_0000183, TO_0000344","other miscellaneous trait, days to flowering trait","0.842064311","1.914136831","0.20458332","0.424749868","0.17647237","0.259161442"
"TraesCS1A03G0594300.1","TraesCS1A02G228500","W19","0.607704448867665","0.00966139729525109","IPR001841, IPR013083","Znf_RING, Znf_RING/FYVE/PHD","GO:0016021,GO:0016567","integral component of membrane,protein ubiquitination","NA","NA","2.195024259","0.910545425","0.920747117","0.509321241","1.011530055","2.038111894"
"TraesCS1A03G0766600.1","TraesCS1A02G309100","W19","0.903261554361632","6.81512488322653e-07","IPR001611, IPR013210, IPR032675","Leu-rich_rpt, LRR_N_plant-typ, LRR_dom_sf","GO:0005515,GO:0016301,GO:0016310","protein binding,kinase activity,phosphorylation","TO_0002637, TO_0002657, TO_0000112, TO_0000541, TO_0006013, TO_0000310, TO_0000472, TO_0006018, TO_0000227, TO_0000207, TO_0000437, TO_0002692, TO_0000276, TO_0002625, TO_0002638, TO_0006038, TO_0002628, TO_0000492, TO_0006019, TO_0000104, TO_0020097, TO_0000084, TO_0000194, TO_0000043, TO_0000580, TO_0006014, TO_0000495, TO_0001013, TO_0006017","leaf size, oxidative stress, disease resistance, leaf position, carpel number, self-incompatibility, vascular bundle number, organ identity, root length, plant height, male sterility, root meristem development, drought tolerance, fruit size, shoot meristem development, floral organ number, fruit shape, leaf shape, floral organ identity, floury endosperm, stomatal opening, root number, globular embryo, root morphology trait, cytoplasmic male sterility, phyllotaxy, chlorophyll content, lateral root number, meristem identity","10.66848857","0.685672062","0","0.02145378","0","0"
"TraesCS1A03G0838900.1","TraesCS1A02G339700","W19","0.603484042747528","0.010319670772453","IPR006502","PDDEXK-like","NA","NA","TO_0000437, TO_0002657, TO_0000183, TO_0000310","male sterility, oxidative stress, other miscellaneous trait, self-incompatibility","0.871411652","1.445180929","0.485875275","0.03506263","0.09354937","0.20259797"
"TraesCS1A03G1008300.1","TraesCS1A02G412800","W19","0.886251432328718","2.18246930305655e-06","IPR002921, IPR029058, IPR033556","Fungal_lipase-like, AB_hydrolase, PLA","GO:0005737,GO:0016042,GO:0008970","cytoplasm,lipid catabolic process,phospholipase A1 activity","TO_0000437, TO_0000173","male sterility, ethylene sensitivity","0.84980253","4.646739157","0","0.017835326","0.31002469","0.291262064"
"TraesCS1B03G0394800.1","TraesCS1B02G144300","W19","0.731398563013453","0.000848545675121055","IPR002132, IPR020929, IPR022803, IPR031309, IPR031310","Ribosomal_L5, Ribosomal_L5_CS, Ribosomal_L5_dom_sf, Ribosomal_L5_C, Ribosomal_L5_N","GO:0005524,GO:0003723,GO:0003735,GO:0022625,GO:0006412","ATP binding,RNA binding,structural constituent of ribosome,cytosolic large ribosomal subunit,translation","TO_0000043, TO_0000183, TO_0000112, TO_0000115, TO_0006036","root morphology trait, other miscellaneous trait, disease resistance, root mass density, stem elongation","1.144950676","1.072968115","0.767743384","0.39061952","0.656111257","0.743792733"
