"ID","Previous_accession","moduleLabels","MM.18","p.MM.18","Interpro.ID","Interpro.Short.Description","GO","GO_term","Ontology.Term","Preferred.Name","SP_d3","SP_d7","R12_d7","R34_d7","R56_d7","R78_d7"
"TraesCS1A03G0013100.1","TraesCS1A02G004200","W18","0.85595013669847","1.17054639273481e-05","IPR006828, IPR037256, IPR043554","ASC_dom, ASC_dom_sf, KINB","NA","NA","TO_0000469","days to maturity","16.93728629","13.43887","26.73328721","13.23551482","17.72240219","24.94016281"
"TraesCS1A03G0207600.1","TraesCS1A02G085600","W18","0.786296650274724","0.000181819308863122","IPR004839, IPR015421, IPR015422, IPR015424, IPR045088","Aminotransferase_I/II, PyrdxlP-dep_Trfase_major, PyrdxlP-dep_Trfase_small, PyrdxlP-dep_Trfase, ALAT1/2-like","NA","NA","TO_0001012, TO_0000104, TO_0002673, TO_0000183","lateral root length, floury endosperm, amino acid content, other miscellaneous trait","14.66312587","20.77802736","27.70024451","21.36446601","29.36894005","30.9562198"
"TraesCS1A03G0380600.1","TraesCS1A02G141900","W18","0.833930687391107","3.18023774904264e-05","IPR001841, IPR013083","Znf_RING, Znf_RING/FYVE/PHD","NA","NA","TO_0006001, TO_0000310","salt tolerance, self-incompatibility","4.20919276","3.015664536","24.34755837","11.290154","5.020310128","8.329838098"
"TraesCS1A03G0393300.1","TraesCS1A02G145900","W18","0.692280041117743","0.00207239155177287","","","NA","NA","NA","NA","1.579338435","3.631992295","6.566664997","1.496688305","2.726472881","4.040270668"
"TraesCS1A03G0445000.1","TraesCS1A02G164000","W18","0.75404128330304","0.000471268522405202","IPR004328, IPR025304, IPR038499","BRO1_dom, ALIX_V_dom, BRO1_sf","NA","NA","TO_0000040, TO_0000043, TO_0000456, TO_0000194, TO_0000183, TO_0000207","panicle length, root morphology trait, spikelet number, globular embryo, other miscellaneous trait, plant height","4.118068088","4.354999932","4.721910305","4.19560736","4.36052988","6.681349039"
"TraesCS1A03G0500900.1","TraesCS1A02G185700","W18","0.627389322257982","0.0070185970154763","IPR006121","HMA_dom","NA","NA","NA","NA","0.994663974","6.053558426","10.1752721","2.362740605","5.36093412","12.05455084"
"TraesCS1A03G0520700.1","TraesCS1A02G194100","W18","0.895730702669548","1.16916869929779e-06","IPR008656, IPR040464, IPR041429","Inositol_tetrakis-P_1-kinase, InsP(3)kin_ATP-grasp, ITPK1_N","NA","NA","NA","NA","2.329562466","2.199261151","4.964423874","2.698470378","2.739109168","3.888662963"
"TraesCS1A03G0595600.1","TraesCS1A02G228700","W18","0.737052106925031","0.000736655676351765","IPR000558, IPR007125, IPR009072","Histone_H2B, Histone_H2A/H2B/H3, Histone-fold","NA","NA","TO_0000253, TO_0000163, TO_0000225, TO_0000036, TO_0006001, TO_0000259, TO_0006036, TO_0000115, TO_0000043, TO_0000276, TO_0000112, TO_0000344, TO_0000183, TO_0006017","seed dormancy, auxin sensitivity, stamen number, hybrid incompatibility, salt tolerance, heat tolerance, stem elongation, root mass density, root morphology trait, drought tolerance, disease resistance, days to flowering trait, other miscellaneous trait, meristem identity","7.300513542","4.485931121","13.46641313","4.019160731","5.483200532","8.01885227"
"TraesCS1A03G0646200.1","TraesCS1A02G249900","W18","0.559612354122729","0.0194991142101607","IPR002925, IPR029058","Dienelactn_hydro, AB_hydrolase","NA","NA","TO_0012004","quantum yield","0.065726637","0.182555272","0.608838327","0.585435022","0.297970066","0.759284736"
"TraesCS1A03G0650500.1","TraesCS1A02G252400","W18","0.872404992432952","4.95424350437686e-06","IPR002579, IPR011057, IPR028427","Met_Sox_Rdtase_MsrB_dom, Mss4-like_sf, Met_Sox_Rdtase_MsrB","NA","NA","TO_0000128","harvest index","2.566850809","3.133275125","7.409467704","4.776527675","3.928175012","6.682996234"
"TraesCS1A03G0687100.1","TraesCS1A02G271800","W18","0.742428470134846","0.000641874990066926","IPR031493","Zinc_ribbon_15","NA","NA","NA","NA","2.740266102","8.03345063","10.60510706","5.075653507","2.132016146","3.676819622"
"TraesCS1A03G0712700.1","TraesCS1A02G282200","W18","0.765660939055666","0.000340134177657474","IPR018170, IPR020471, IPR023210, IPR036812","Aldo/ket_reductase_CS, AKR, NADP_OxRdtase_dom, NADP_OxRdtase_dom_sf","NA","NA","TO_0002637","leaf size","0.118854192","0.309944773","10.65172186","2.641871541","0.517750797","0.870629561"
"TraesCS1A03G0716700.1","TraesCS1A02G283800","W18","0.778598247927416","0.000231423392649754","IPR000642, IPR003593, IPR003959, IPR003960, IPR005936, IPR011546, IPR027417, IPR037219, IPR041569","Peptidase_M41, AAA+_ATPase, ATPase_AAA_core, ATPase_AAA_CS, FtsH, Pept_M41_FtsH_extracell, P-loop_NTPase, Peptidase_M41-like, AAA_lid_3","NA","NA","TO_0000492, TO_0000183, TO_0002639","leaf shape, other miscellaneous trait, shoot branching","6.283955297","6.343280856","13.30065127","11.80316956","9.33878771","10.55979771"
"TraesCS1A03G0730300.1","TraesCS1A02G291600","W18","0.875292788543378","4.2092156816651e-06","IPR001951, IPR009072, IPR019809, IPR035425","Histone_H4, Histone-fold, Histone_H4_CS, CENP-T/H4_C","NA","NA","NA","NA","5.822989553","3.134619445","17.77692459","3.872117833","3.325343783","7.104307312"
"TraesCS1A03G0749900.1","TraesCS1A02G301400","W18","0.780106547040254","0.000220903537334858","IPR000719, IPR008271, IPR011009","Prot_kinase_dom, Ser/Thr_kinase_AS, Kinase-like_dom_sf","NA","NA","TO_0000183, TO_0000371, TO_0000522;TO_0000523, TO_0006001, TO_0012004, TO_0000112, TO_0002657, TO_0000281, TO_0000043, TO_0020116","other miscellaneous trait, yield trait, stomatal resistance, salt tolerance, quantum yield, disease resistance, oxidative stress, metabolite content trait, root morphology trait, photochemical quenching","1.837870229","2.22395588","7.053234362","4.373069845","3.487842069","7.712394394"
"TraesCS1A03G0968300.1","TraesCS1A02G397000","W18","0.648435930117289","0.00486947807755037","","","NA","NA","TO_0020055, TO_0000194","wheat stripe rust disease resistance, globular embryo","0.582262366","0.579739264","0.680649253","0.525431622","0.752757462","0.991242373"
"TraesCS1A03G1006100.1","TraesCS1A02G411700","W18","0.732202928320141","0.000831818576535783","IPR003956, IPR003958, IPR009072, IPR027113","Transcrpt_fac_NFYB/HAP3_CS, CBFA_NFYB_domain, Histone-fold, Transc_fact_NFYB/HAP3","NA","NA","TO_0002657, TO_0000495, TO_0000303, TO_0006001, TO_0006017, TO_0000397, TO_0000522;TO_0000523, TO_0000919, TO_0006036, TO_0000207, TO_0000391, TO_0000328, TO_0020055, TO_0000043, TO_0000439, TO_0020100, TO_0000137, TO_0000112, TO_0000409, 88, TO_0002661, TO_0001018, TO_0000253, TO_0000266, TO_0000696, TO_0000196, TO_0000180, TO_0001015","oxidative stress, chlorophyll content, cold tolerance, salt tolerance, meristem identity, grain size, stomatal resistance, grain weight, stem elongation, plant height, seed size, sucrose content, wheat stripe rust disease resistance, root morphology trait, fungal disease resistance, nitrate uptake, days to heading, disease resistance, peak viscosity, Hessian fly damage, seed maturation, transpiration rate, seed dormancy, chalky endosperm, starch content, amylose content, spikelet fertility, photosynthetic rate","1.266410908","2.223730976","2.931146966","1.660214455","1.733682698","2.545650739"
"TraesCS1A03G1028200.1","TraesCS1A02G421500","W18","0.848098455980569","1.70160625516455e-05","IPR002035, IPR032838, IPR036465","VWF_A, Vwaint_dom, vWFA_dom_sf","NA","NA","NA","NA","0","0.023236815","4.884857209","1.187268992","0.054128229","0"
"TraesCS1B03G0235600.1","TraesCS1B02G089000","W18","0.819042638722095","5.78330020958646e-05","IPR004838, IPR004839, IPR005958, IPR015421, IPR015422, IPR015424","NHTrfase_class1_PyrdxlP-BS, Aminotransferase_I/II, TyrNic_aminoTrfase, PyrdxlP-dep_Trfase_major, PyrdxlP-dep_Trfase_small, PyrdxlP-dep_Trfase","NA","NA","TO_0000084, TO_0001013, TO_0000183","root number, lateral root number, other miscellaneous trait","3.016173897","3.29540593","5.512682396","4.680989319","4.086892564","8.782050712"
"TraesCS1B03G0788700.1","TraesCS1B02G283600","W18","0.690954340852824","0.00213103978756078","IPR000146, IPR020548, IPR028343, IPR033391, IPR044015","FBPase_class-1, Fructose_bisphosphatase_AS, FBPtase, FBPase_N, FBPase_C_dom","NA","NA","TO_0000043, TO_0000183, TO_0000227, TO_0000696, TO_0002639, TO_0000328","root morphology trait, other miscellaneous trait, root length, starch content, shoot branching, sucrose content","4.450176529","4.878806564","7.793570748","3.61757243","5.082939644","9.322265622"
"TraesCS1B03G0813700.1","TraesCS1B02G291400","W18","0.798781239381413","0.000120373673639168","IPR018170, IPR020471, IPR023210, IPR036812, IPR044498","Aldo/ket_reductase_CS, AKR, NADP_OxRdtase_dom, NADP_OxRdtase_dom_sf, AKR4C","NA","NA","TO_0002637, TO_0000004, TO_0000437","leaf size, reversible male sterility, male sterility","0.050610505","0.048015746","1.234205636","0.511046104","0.012907774","0.027281818"
"TraesCS1B03G0834000.1","TraesCS1B02G301000","W18","0.643407651005406","0.00532661561784983","IPR001951, IPR009072, IPR019809, IPR035425","Histone_H4, Histone-fold, Histone_H4_CS, CENP-T/H4_C","NA","NA","TO_0000344, TO_0000137","days to flowering trait, days to heading","2.337686915","1.507662826","5.823959198","1.230195106","0.974448396","1.295782316"
"TraesCS1B03G0929200.1","TraesCS1B02G338500","W18","0.59033324617219","0.0126024790788552","IPR000118, IPR000169, IPR000668, IPR013128, IPR013201, IPR025660, IPR025661, IPR037277, IPR038765, IPR039417","Granulin, Pept_cys_AS, Peptidase_C1A_C, Peptidase_C1A, Prot_inhib_I29, Pept_his_AS, Pept_asp_AS, Granulin_sf, Papain-like_cys_pep_sf, Peptidase_C1A_papain-like","NA","NA","TO_0000128, TO_0000207, TO_0000428, TO_0000183, TO_0002691, TO_0000112, TO_0006017","harvest index, plant height, callus induction, other miscellaneous trait, peduncle length, disease resistance, meristem identity","4.965920178","10.33334093","11.50239352","6.186003469","12.03273487","18.92681652"
"TraesCS1B03G0981700.1","TraesCS1B02G360300","W18","0.864091983653977","7.75581905490323e-06","IPR000571, IPR045234","Znf_CCCH, Unkempt-like","NA","NA","TO_0000495","chlorophyll content","0.575689105","0.612630336","27.1252298","7.843197438","2.021490025","3.272382303"
"TraesCS1B03G0984000.1","TraesCS1B02G361400","W18","0.903665938245057","6.61231716880238e-07","IPR002213, IPR035595","UDP_glucos_trans, UDP_glycos_trans_CS","NA","NA","TO_0000580","cytoplasmic male sterility","1.183367419","1.586065616","11.36314297","3.728759722","1.741108262","5.364278424"
"TraesCS1B03G1203600.1","TraesCS1B02G448400","W18","0.801700110511002","0.000108865248461213","IPR003265, IPR011257","HhH-GPD_domain, DNA_glycosylase","NA","NA","TO_0000437, TO_0000004, TO_0000355, TO_0002699, TO_0006002","male sterility, reversible male sterility, heterosis, lycopene content, proline content","1.476919244","1.115072453","3.038873178","1.263799367","1.671814519","3.091807916"
"TraesCS1D03G0200400.1","TraesCS1D02G086700","W18","0.761663278421633","0.000381282799664765","IPR004839, IPR015421, IPR015422, IPR015424, IPR045088","Aminotransferase_I/II, PyrdxlP-dep_Trfase_major, PyrdxlP-dep_Trfase_small, PyrdxlP-dep_Trfase, ALAT1/2-like","NA","NA","TO_0002673, TO_0000104, TO_0001012, TO_0000183","amino acid content, floury endosperm, lateral root length, other miscellaneous trait","42.20970234","45.36738848","74.35295762","60.75441484","73.59027699","67.86527847"
"TraesCS1D03G0263800.1","TraesCS1D02G111100","W18","0.679966856087093","0.00267139370363946","IPR003195, IPR009072","TFIID_TAF13, Histone-fold","NA","NA","TO_0000428, TO_0000043, TO_0000183, TO_0000345, TO_0006001, TO_0006014, TO_0006054, TO_0000167","callus induction, root morphology trait, other miscellaneous trait, seed viability, salt tolerance, phyllotaxy, arsenic concentration, cytokinin sensitivity","2.610489627","3.992446334","4.988225611","3.002738687","4.576404213","8.534754118"
"TraesCS1D03G0273200.1","TraesCS1D02G115300","W18","0.744699121946658","0.000605007022719089","IPR010820","DUF1421","NA","NA","TO_0006017","meristem identity","1.44749013","1.620104677","2.488438256","1.506829823","2.382166663","3.547289253"
"TraesCS1D03G0356200.1","TraesCS1D02G141000","W18","0.885573715887993","2.27725791109058e-06","IPR001841, IPR013083","Znf_RING, Znf_RING/FYVE/PHD","NA","NA","TO_0006001","salt tolerance","5.313386657","5.466624184","36.5845524","11.82650183","6.737884757","9.040671878"
"TraesCS1D03G0502200.1","TraesCS1D02G196700","W18","0.709559451677011","0.00142125265468437","IPR001164, IPR037278, IPR038508","ArfGAP_dom, ARFGAP/RecO, ArfGAP_dom_sf","NA","NA","TO_0002661, TO_0000190, TO_0000253","seed maturation, seed coat color, seed dormancy","2.981317533","3.837280554","4.180322229","2.902821075","4.634464053","5.56356829"
"TraesCS1D03G0563600.1","TraesCS1D02G228900","W18","0.526856883092529","0.0297825523323765","IPR000719, IPR001245, IPR008271, IPR011009, IPR017441, IPR024788, IPR046957","Prot_kinase_dom, Ser-Thr/Tyr_kinase_cat_dom, Ser/Thr_kinase_AS, Kinase-like_dom_sf, Protein_kinase_ATP_BS, Malectin-like_Carb-bd_dom, FERONIA-like","NA","NA","TO_0000345, TO_0001015, TO_0000043, TO_0000112, TO_0000183, TO_0000084, TO_0000276, TO_0000253, TO_0006001, TO_0000181, TO_0000696, TO_0020097, TO_0000207, TO_0000257, TO_0002665, TO_0001018, TO_0000391, TO_0000227","seed viability, photosynthetic rate, root morphology trait, disease resistance, other miscellaneous trait, root number, drought tolerance, seed dormancy, salt tolerance, seed weight, starch content, stomatal opening, plant height, root branching, root hair length, transpiration rate, seed size, root length","0.889097478","1.501357441","1.664019569","1.716772184","1.629751252","2.804877996"
"TraesCS1D03G0581300.1","TraesCS1D02G238200","W18","0.791345950345683","0.000154393046057377","IPR003231, IPR006162, IPR009081, IPR036736","Acyl_carrier, Ppantetheine_attach_site, PP-bd_ACP, ACP-like_sf","NA","NA","TO_0000522;TO_0000523, TO_0000183, TO_0000495","stomatal resistance, other miscellaneous trait, chlorophyll content","6.044902028","6.629159108","10.98027119","5.016366624","5.770602262","8.097221692"
"TraesCS1D03G0602000.1","TraesCS1D02G248500","W18","0.804452781250008","9.8873786071237e-05","IPR002213","UDP_glucos_trans","NA","NA","TO_0000043, TO_0000112, TO_0000276, TO_0000495, TO_0001026, TO_0000567, TO_0000183, TO_0002657, TO_0000492","root morphology trait, disease resistance, drought tolerance, chlorophyll content, respiration rate, tiller angle, other miscellaneous trait, oxidative stress, leaf shape","2.474623439","1.593482246","13.73652507","6.338825378","3.702024354","4.065775777"
"TraesCS1D03G0609400.1","TraesCS1D02G252200","W18","0.75458603558553","0.000464300208614229","IPR009069","Cys_alpha_HP_mot_SF","NA","NA","NA","NA","1.889855635","1.394855411","3.097700865","1.337033294","1.782344241","2.718677333"
"TraesCS1D03G0665500.1","TraesCS1D02G276800","W18","0.675607089974502","0.00291461659469188","IPR001748, IPR018230","BUD31, BUD31/G10-rel_CS","NA","NA","TO_0020055, TO_0000137, TO_0000469, TO_0000344","wheat stripe rust disease resistance, days to heading, days to maturity, days to flowering trait","5.363906447","5.628938974","7.372265449","4.903120702","7.259479486","11.23056263"
"TraesCS1D03G0753700.1","TraesCS1D02G316900","W18","0.698208358676753","0.0018260540600761","IPR001950, IPR005874, IPR036877","SUI1, SUI1_euk, SUI1_dom_sf","NA","NA","TO_0000355, TO_0000128","heterosis, harvest index","37.69141868","39.473739","45.11489541","34.75161921","54.36532825","73.85705376"
"TraesCS1D03G0936400.1","TraesCS1D02G403400","W18","0.617120925220069","0.00831297615686056","IPR008598, IPR027935, IPR033347","Di19_Zn-bd, Di19_C, DI19","NA","NA","72, TO_0006017, TO_0000303","Grain hardness, meristem identity, cold tolerance","12.30937469","16.26158597","16.54560874","14.17796568","19.58154915","36.54170386"
"TraesCS1D03G1005700.1","TraesCS1D02G437900","W18","0.615757858279731","0.00849825732148529","IPR001810, IPR036047","F-box_dom, F-box-like_dom_sf","NA","NA","TO_0000437, TO_0000004","male sterility, reversible male sterility","0.891932864","1.229766648","1.557776897","0.910886027","1.207881321","2.230718142"
"TraesCS2A03G0024000.1","TraesCS2A02G011300","W18","0.666146278566042","0.003504759636417","IPR012866","DUF1644","NA","NA","TO_0000430, TO_0006002, TO_0020055, TO_0000253, TO_0000190, TO_0002661","germination rate, proline content, wheat stripe rust disease resistance, seed dormancy, seed coat color, seed maturation","4.008781236","4.287305381","4.295442833","4.022532585","5.251282597","8.758237207"
"TraesCS2A03G0066600.1","TraesCS2A02G033700","W18","0.910589709941527","3.85807621575814e-07","IPR001404, IPR003594, IPR019805, IPR020568, IPR020575, IPR036890, IPR037196","Hsp90_fam, HATPase_C, Heat_shock_protein_90_CS, Ribosomal_S5_D2-typ_fold, Hsp90_N, HATPase_C_sf, HSP90_C","NA","NA","TO_0006050, TO_0006001, TO_0000259, TO_0000366, TO_0000391, TO_0000975, TO_0000276, TO_0006067, TO_0002639, TO_0006036, TO_0002661, TO_0000112, TO_0006002, TO_0002692, TO_0000430, TO_0006004, TO_0002657, TO_0006013, TO_0000043, TO_0000315, TO_0000183, TO_0000421","cobalt concentration, salt tolerance, heat tolerance, reproductive growth time, seed size, grain width, drought tolerance, aphid resistance, shoot branching, stem elongation, seed maturation, disease resistance, proline content, root meristem development, germination rate, raffinose content, oxidative stress, carpel number, root morphology trait, bacterial disease resistance, other miscellaneous trait, pollen fertility","0.950750243","2.014760198","11.01463939","1.802746512","0.987754368","1.45841632"
"TraesCS2A03G0206100.1","TraesCS2A02G100200","W18","0.701614306984999","0.00169575685279124","","","NA","NA","NA","NA","1.845131843","5.657316267","6.009600707","4.039392416","3.544301709","6.524133346"
"TraesCS2A03G0254300.1","TraesCS2A02G123000","W18","0.831157206228996","3.57029442725168e-05","IPR002347, IPR036291","SDR_fam, NAD(P)-bd_dom_sf","NA","NA","TO_0000084, TO_0000640, TO_0000430, TO_0000135, TO_0000227, TO_0006002, TO_0001007, TO_0000207, TO_0000919, TO_0000112, TO_0002759","root number, total root number, germination rate, leaf length, root length, proline content, coleoptile length, plant height, grain weight, disease resistance, grain number","3.543917174","4.866152069","14.35628283","2.189462153","2.553318241","8.070982589"
"TraesCS2A03G0320000.1","TraesCS2A02G155600","W18","0.773396701139113","0.000270974149059935","IPR009038, IPR015720","GOLD_dom, Emp24-like","NA","NA","TO_0000183, TO_0000128, TO_0000344","other miscellaneous trait, harvest index, days to flowering trait","7.195800153","6.79523604","8.62031853","5.369128907","7.299202285","10.42231949"
